Talker,Age,L1,Vowel,Token,F0_gm,F0,SR,Duration,Quantity,Transcribed_vowel,Repetitions,F1_gm,F2_gm,F3_gm,height_gm,backness_gm
SW_001,30,Swedish,ae1,4,200.963042516009,174.68133441499,178.33842227818,0.261702286569715,long,intended,5,791.59922475058,1833.68660356943,3075.69172748797,1.49037224042296,0.840028522462586
SW_001,30,Swedish,ae1,5,200.963042516009,172.802653052098,178.33842227818,0.269829686773733,long,intended,5,768.422919503185,1670.3501382361,1994.76216889066,1.46065726405741,0.776448289031405
SW_001,30,Swedish,{:,1,200.963042516009,190.437319517756,178.33842227818,0.220008981643105,long,intended,5,908.339976451865,1682.29047953349,2119.2051418156,1.6279357379674,0.616292792584979
SW_001,30,Swedish,{:,2,200.963042516009,185.295451227977,178.33842227818,0.257217656006532,long,intended,5,851.107090524283,1708.73654363208,2437.78809101509,1.5628549675001,0.696971551569406
SW_001,30,Swedish,{:,3,200.963042516009,190.758615098625,178.33842227818,0.247697486031285,long,intended,5,835.292183049021,1679.98408245069,2440.92154144113,1.54409858950231,0.698758014158305
SW_001,30,Swedish,{:,4,200.963042516009,165.755889666264,178.33842227818,0.243704130609473,long,intended,5,873.982481422851,1811.28387760769,2201.73969453547,1.58937733735596,0.728730866137143
SW_001,30,Swedish,{:,5,200.963042516009,223.471932063304,178.33842227818,0.245250104667861,long,intended,5,912.958044464175,1109.88909481718,2123.95708229963,1.6330069320896,0.1953254486858
SW_001,30,Swedish,{,1,200.963042516009,199.61449235792,178.33842227818,0.136540323427653,short,intended,5,793.166219129035,2059.48735307,3142.8299731985,1.49234981369122,0.954179565429099
SW_001,30,Swedish,{,2,200.963042516009,208.170774697713,178.33842227818,0.157671563958132,short,intended,5,752.312654690396,1938.06642669369,2862.33177724958,1.43946900779972,0.946294066003246
SW_001,30,Swedish,{,3,200.963042516009,219.01204817294,178.33842227818,0.157671563958161,short,intended,5,681.813845582414,2095.61949389956,2438.89640825018,1.34107367293327,1.1228478228973
SW_001,30,Swedish,{,4,200.963042516009,195.493353086208,178.33842227818,0.144667723631699,short,intended,5,778.553475130609,2087.65800096421,3218.60755369033,1.47375468491075,0.986360464074558
SW_001,30,Swedish,{,5,200.963042516009,207.748571090936,178.33842227818,0.152795123835716,short,intended,5,782.865396227055,2110.92324199773,3242.39025208623,1.4792777794969,0.991919912762827
SW_001,30,Swedish,oe1,1,200.963042516009,195.883375922835,178.33842227818,0.206676487108211,long,intended,5,671.416887314332,1741.30949980508,2957.00444711451,1.32570724265908,0.953002458633389
SW_001,30,Swedish,oe1,2,200.963042516009,183.626993332867,178.33842227818,0.244449331752662,long,intended,5,679.678797679222,1723.62145636348,2896.35092888033,1.33793733626059,0.930562524018315
