Talker,Age,Gender,category,Word,Token,Trial,Location,Duration,SR,F0,F1,F2,F3,Quantity
ref_yw_1,35,female,[oː],lås,3,24,65,0.330075620035657,180.453128894151,231.33395876418,461.254883381182,727.980500865269,2895.66242558586,long
ref_yw_1,35,female,[oː],lås,3,24,80,0.330075620035657,180.453128894151,231.33395876418,521.220547114514,907.555131822547,2793.21708116186,long
ref_yw_1,35,female,[eː],leta,1,25,20,0.252377055273257,180.453128894151,210,426.99026160671,2571.61902274252,3115.76020338886,long
ref_yw_1,35,female,[eː],leta,1,25,35,0.252377055273257,180.453128894151,210,417.221537505938,2795.75895789761,3068.57190835118,long
ref_yw_1,35,female,[eː],leta,1,25,50,0.252377055273257,180.453128894151,210,407.218824477296,2847.54745064749,3366,long
ref_yw_1,35,female,[eː],leta,1,25,65,0.252377055273257,180.453128894151,210,423.057750700449,2760.98392174083,3130.37460079204,long
ref_yw_1,35,female,[eː],leta,1,25,80,0.252377055273257,180.453128894151,210,608.402001652719,2284.52780255534,2875.33495630755,long
ref_yw_1,35,female,[eː],leta,2,26,20,0.190226099105814,180.453128894151,94.1088917251032,404.227439931504,2682.46226918475,2948.82947083697,long
ref_yw_1,35,female,[eː],leta,2,26,35,0.190226099105814,180.453128894151,94.1088917251032,403.674303507686,2673.58096884305,2961.64817584893,long
ref_yw_1,35,female,[eː],leta,2,26,50,0.190226099105814,180.453128894151,94.1088917251032,477.127152472532,2465.345141598,2916.73382048452,long
ref_yw_1,35,female,[eː],leta,2,26,65,0.190226099105814,180.453128894151,94.1088917251032,652.705761316847,2097.25895056588,2767.0383455134,long
ref_yw_1,35,female,[eː],leta,2,26,80,0.190226099105814,180.453128894151,94.1088917251032,777,1766,2408,long
ref_yw_1,35,female,[eː],leta,3,27,20,0.179622935209849,180.453128894151,187.319991036021,417.995673144948,2672.275131272,3001.65686030399,long
ref_yw_1,35,female,[eː],leta,3,27,35,0.179622935209849,180.453128894151,187.319991036021,410.814081845963,2695.9084050801,3030.59661696136,long
ref_yw_1,35,female,[eː],leta,3,27,50,0.179622935209849,180.453128894151,187.319991036021,419.449538103814,2595.58382967704,2986.45425387021,long
ref_yw_1,35,female,[eː],leta,3,27,65,0.179622935209849,180.453128894151,187.319991036021,526.249897349559,2310.40189466916,2805.43541059795,long
ref_yw_1,35,female,[eː],leta,3,27,80,0.179622935209849,180.453128894151,187.319991036021,688.052820603612,1998.87677788799,2692.99446834802,long
ref_yw_1,35,female,[œː],dör,1,28,20,0.491535366714061,180.453128894151,215.769820567755,563.032369479047,1222.40311012374,2832.88286825725,long
ref_yw_1,35,female,[œː],dör,1,28,35,0.491535366714061,180.453128894151,215.769820567755,549.597376560687,1092.09728959071,2844.01555494121,long
ref_yw_1,35,female,[œː],dör,1,28,50,0.491535366714061,180.453128894151,215.769820567755,572.744248910592,1069.83558306083,2819.57744729054,long
ref_yw_1,35,female,[œː],dör,1,28,65,0.491535366714061,180.453128894151,215.769820567755,599.015940163116,1213.81592943566,2828.63778012854,long
ref_yw_1,35,female,[œː],dör,1,28,80,0.491535366714061,180.453128894151,215.769820567755,560.329250716066,1328.65364778528,2739.52442354732,long
ref_yw_1,35,female,[œː],dör,2,29,20,0.425393923721906,180.453128894151,194.770084343498,585.830469336162,1334.45848786884,2750.26676525202,long
ref_yw_1,35,female,[œː],dör,2,29,35,0.425393923721906,180.453128894151,194.770084343498,588.601630209016,1196.83747657456,2785.58697072082,long
ref_yw_1,35,female,[œː],dör,2,29,50,0.425393923721906,180.453128894151,194.770084343498,577.33102316528,1165.79778572123,2766.55777732442,long
ref_yw_1,35,female,[œː],dör,2,29,65,0.425393923721906,180.453128894151,194.770084343498,549.889907058629,1191.28808731793,2771.50859740669,long
